Cổ phiếu,Mô hình,Test R²,Test RMSE,Test MAPE%,Nhận xét
CMG,Ridge Regression,0.9914,743.9696,2.16,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,Ridge Regression,0.9914,743.9696,2.16,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,LSTM Model,0.9816,1083.8562,3.37,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,"ARIMA Model (order=(5, 1, 0))",0.9924,697.9472,1.8,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,Ridge Regression,0.9914,743.9696,2.16,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,Ridge Regression,0.9914,743.9696,2.16,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,Ridge Regression,0.9914,743.9696,2.16,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,Ridge Regression,0.9914,743.9696,2.16,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,Ridge Regression,0.9914,743.9696,2.16,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,Ridge Regression,0.9914,743.9696,2.16,Hiệu suất tốt với MAPE thấp và R² cao.
CMG,Ridge Regression,0.9914,743.9696,2.16,Hiệu suất tốt với MAPE thấp và R² cao.
CMT,Ridge Regression,0.9865,693.5431,3.29,Hiệu suất tốt với MAPE thấp và R² cao.
CMT,Ridge Regression,0.9865,693.5431,3.29,Hiệu suất tốt với MAPE thấp và R² cao.
CMT,LSTM Model,0.9693,1042.9488,5.72,Hiệu suất khá nhưng cần cải thiện độ chính xác.
CMT,"ARIMA Model (order=(5, 1, 0))",0.9881,650.406,3.1,Hiệu suất tốt với MAPE thấp và R² cao.
CMT,Ridge Regression,0.9865,693.5431,3.29,Hiệu suất tốt với MAPE thấp và R² cao.
CMT,Ridge Regression,0.9865,693.5431,3.29,Hiệu suất tốt với MAPE thấp và R² cao.
CMT,Ridge Regression,0.9865,693.5431,3.29,Hiệu suất tốt với MAPE thấp và R² cao.
CMT,Ridge Regression,0.9865,693.5431,3.29,Hiệu suất tốt với MAPE thấp và R² cao.
CMT,Ridge Regression,0.9865,693.5431,3.29,Hiệu suất tốt với MAPE thấp và R² cao.
DGW,Ridge Regression,0.995,1287.2554,3.14,Hiệu suất tốt với MAPE thấp và R² cao.
DGW,Ridge Regression,0.995,1287.2554,3.14,Hiệu suất tốt với MAPE thấp và R² cao.
DGW,LSTM Model,0.9892,1891.8956,4.53,Hiệu suất tốt với MAPE thấp và R² cao.
DGW,"ARIMA Model (order=(5, 1, 0))",0.9969,1022.4135,2.4,Hiệu suất tốt với MAPE thấp và R² cao.
DGW,Ridge Regression,0.995,1287.2554,3.14,Hiệu suất tốt với MAPE thấp và R² cao.
DGW,Ridge Regression,0.995,1287.2554,3.14,Hiệu suất tốt với MAPE thấp và R² cao.
