time,open,high,low,close,volume
2023-01-03,28510.0,30010.0,28510.0,30010.0,736880
2023-01-04,30390.0,30610.0,29940.0,30090.0,515960
2023-01-05,30610.0,30610.0,29600.0,29670.0,389474
2023-01-06,29710.0,29860.0,28510.0,28810.0,695589
2023-01-09,29260.0,29300.0,28510.0,28960.0,401677
2023-01-10,29260.0,29900.0,28400.0,29820.0,596470
2023-01-11,29640.0,30240.0,29640.0,29710.0,472344
2023-01-12,29790.0,29970.0,29260.0,29710.0,450357
2023-01-13,29710.0,30010.0,29340.0,29710.0,508798
2023-01-16,30050.0,30240.0,29110.0,29110.0,494901
2023-01-17,29410.0,29940.0,29190.0,29860.0,601954
2023-01-18,30010.0,31930.0,29900.0,31930.0,1376083
2023-01-19,32189.999999999996,32409.999999999996,31510.0,32409.999999999996,998549
2023-01-27,32860.0,33460.0,32560.000000000004,32710.0,1012008
2023-01-30,32680.0,32680.0,31700.0,32110.0,1090011
2023-01-31,32150.0,33010.0,31360.0,33010.0,871938
2023-02-01,33690.0,33690.0,30800.0,30990.0,1238138
2023-02-02,31510.0,31510.0,30090.0,30390.0,603725
2023-02-03,30690.0,31140.0,30390.0,30990.0,438570
2023-02-06,30910.0,30990.0,30350.0,30800.0,436068
2023-02-07,30800.0,32229.999999999996,30610.0,30760.0,1100833
2023-02-08,31360.0,31550.0,30760.0,31290.0,681665
2023-02-09,31440.0,32189.999999999996,30610.0,30650.0,562347
2023-02-10,30760.0,30760.0,29260.0,29790.0,743097
2023-02-13,29790.0,29970.0,28290.0,29260.0,951168
2023-02-14,29560.0,29710.0,29040.0,29410.0,428373
2023-02-15,29640.0,29940.0,29260.0,29820.0,553717
2023-02-16,30160.0,30760.0,29860.0,30500.0,545991
2023-02-17,30010.0,30760.0,29640.0,29940.0,476278
2023-02-20,30240.0,30690.0,29820.0,30610.0,733331
2023-02-21,31360.0,31780.0,30990.0,31360.0,1502203
2023-02-22,31140.0,32409.999999999996,30730.0,31140.0,1235420
2023-02-23,31060.0,31510.0,29560.0,30690.0,1053184
2023-02-24,30760.0,30760.0,29670.0,29900.0,510208
2023-02-27,28960.0,29490.0,28140.0,28140.0,1035449
2023-02-28,28210.0,28740.0,27160.0,27390.0,1070767
2023-03-01,27760.0,28510.0,26640.0,28320.0,582525
2023-03-02,28360.0,28770.0,27420.0,27910.0,442682
2023-03-03,27910.0,28250.0,27570.0,27610.0,703301
2023-03-06,28210.0,28290.0,27010.0,27010.0,672469
2023-03-07,27390.0,27570.0,25890.0,26340.0,1013573
2023-03-08,26260.0,26450.0,25920.0,26150.0,1724805
2023-03-09,26600.0,27950.0,26260.0,27950.0,1481406
2023-03-10,27760.0,27990.0,27420.0,27760.0,953981
2023-03-13,27390.0,27760.0,27050.0,27090.0,790164
2023-03-14,27010.0,27350.0,25890.0,26000.0,1266293
2023-03-15,26710.0,27120.0,26260.0,26710.0,1071161
2023-03-16,26560.0,26710.0,26040.0,26040.0,612964
2023-03-17,26410.0,26640.0,26040.0,26220.0,527564
2023-03-20,26220.0,26410.0,25510.0,25510.0,833812
2023-03-21,25890.0,25890.0,24420.0,25510.0,1276390
2023-03-22,25850.0,25850.0,24540.0,24540.0,1674942
2023-03-23,24200.0,25250.0,24120.0,24990.0,798463
2023-03-24,25100.0,25250.0,24610.0,24840.0,837381
2023-03-27,24910.0,25100.0,24390.0,24540.0,1032247
2023-03-28,24720.0,24950.0,24240.0,24390.0,1762943
2023-03-29,24460.0,24460.0,23450.0,23600.0,2460669
2023-03-30,23480.0,23930.0,21950.0,21950.0,5299402
2023-03-31,21950.0,22510.0,20630.0,21530.0,2429520
2023-04-03,21910.0,22880.0,21830.0,22430.0,1910373
2023-04-04,22660.0,23930.0,22320.0,23930.0,3678493
2023-04-05,24010.0,24650.0,23750.0,24540.0,2715081
2023-04-06,24570.0,24760.0,23600.0,23710.0,2198947
2023-04-07,23630.0,23860.0,23150.0,23480.0,1452941
2023-04-10,24010.0,25100.0,23780.0,25100.0,3458472
2023-04-11,25470.0,25890.0,24990.0,25660.0,2779162
2023-04-12,25890.0,25890.0,25360.0,25360.0,1818545
2023-04-13,25360.0,25850.0,25060.0,25550.0,2086089
2023-04-14,25810.0,25810.0,24610.0,24610.0,1800596
2023-04-17,24460.0,24910.0,24310.0,24500.0,1288201
2023-04-18,24990.0,25810.0,24950.0,25550.0,2443208
2023-04-19,25550.0,27310.0,25440.0,26790.0,4686098
2023-04-20,26750.0,26820.0,25960.0,26190.0,1489087
2023-04-21,26560.0,26750.0,25510.0,25850.0,2041138
2023-04-24,25890.0,25960.0,24610.0,25440.0,2587790
2023-04-25,25850.0,25850.0,24610.0,24690.0,1700497
2023-04-26,24500.0,25210.0,24460.0,25210.0,1079193
2023-04-27,25210.0,25360.0,24840.0,25020.0,792325
2023-04-28,25170.0,25810.0,25170.0,25740.0,1742238
2023-05-04,25590.0,25770.0,25140.0,25170.0,1120517
2023-05-05,25470.0,25510.0,24990.0,25170.0,813692
2023-05-08,25440.0,25510.0,24460.0,24690.0,1860944
2023-05-09,24760.0,25100.0,24460.0,25020.0,928680
2023-05-10,25060.0,25920.0,25020.0,25890.0,1582983
2023-05-11,26190.0,26260.0,25510.0,25740.0,1753220
2023-05-12,25810.0,25810.0,25320.0,25550.0,1904345
2023-05-15,26040.0,26040.0,25140.0,25140.0,1699027
2023-05-16,25210.0,25250.0,24540.0,24690.0,1928816
2023-05-17,24870.0,25060.0,24610.0,24690.0,1128289
2023-05-18,24760.0,24910.0,24690.0,24760.0,702731
2023-05-19,24800.0,25100.0,24610.0,24800.0,699785
2023-05-22,24800.0,25740.0,24800.0,25620.0,1768465
2023-05-23,25740.0,25740.0,25170.0,25360.0,1145640
2023-05-24,25470.0,25470.0,24990.0,24990.0,1148383
2023-05-25,24870.0,24870.0,24610.0,24650.0,1512331
2023-05-26,24760.0,25060.0,24720.0,24840.0,419129
2023-05-29,24990.0,25660.0,24910.0,25590.0,1776857
2023-05-30,25740.0,26860.0,25700.0,26750.0,3655248
2023-05-31,26750.0,26860.0,26410.0,26560.0,1522948
2023-06-01,26670.0,27310.0,26490.0,27160.0,2289159
2023-06-02,27390.0,28140.0,26820.0,28020.0,2537539
2023-06-05,28590.0,28620.0,27800.0,28100.0,2156087
2023-06-06,27840.0,28510.0,27840.0,27990.0,2117009
2023-06-07,27990.0,28740.0,27870.0,28510.0,2271947
