time,open,high,low,close,volume
2023-01-03,5920.0,6280.0,5920.0,6250.0,719104
2023-01-04,6310.0,6340.0,6170.0,6170.0,416653
2023-01-05,6170.0,6200.0,6090.0,6120.0,359801
2023-01-06,6130.0,6150.0,5960.0,5980.0,607595
2023-01-09,6010.0,6050.0,5880.0,5880.0,291205
2023-01-10,5890.0,5980.0,5820.0,5910.0,252905
2023-01-11,5900.0,6000.0,5900.0,5950.0,374906
2023-01-12,5950.0,6050.0,5930.0,5950.0,254951
2023-01-13,5980.0,6100.0,5900.0,5900.0,603077
2023-01-16,5900.0,5940.0,5800.0,5850.0,275683
2023-01-17,5850.0,6080.0,5840.0,6080.0,885320
2023-01-18,6130.0,6250.0,6000.0,6200.0,600496
2023-01-19,6150.0,6250.0,6120.0,6200.0,540933
2023-01-27,6210.0,6450.0,6200.0,6360.0,1003158
2023-01-30,6440.0,6500.0,6370.0,6410.0,963154
2023-01-31,6360.0,6390.0,6250.0,6360.0,669163
2023-02-01,6330.0,6660.0,6230.0,6230.0,2012618
2023-02-02,6270.0,6350.0,6120.0,6140.0,512579
2023-02-03,6250.0,6250.0,5800.0,6100.0,794670
2023-02-06,6200.0,6200.0,5900.0,6060.0,296065
2023-02-07,6100.0,6150.0,5940.0,5950.0,484438
2023-02-08,5990.0,6070.0,5920.0,5980.0,526384
2023-02-09,6100.0,6100.0,5940.0,5940.0,333659
2023-02-10,5940.0,5980.0,5880.0,5880.0,297922
2023-02-13,5880.0,5890.0,5550.0,5870.0,789327
2023-02-14,5820.0,5870.0,5700.0,5850.0,331163
2023-02-15,5900.0,5920.0,5780.0,5900.0,411690
2023-02-16,5950.0,5960.0,5860.0,5940.0,229613
2023-02-17,5960.0,6020.0,5880.0,5930.0,313979
2023-02-20,5890.0,6300.0,5890.0,6290.0,1325263
2023-02-21,6310.0,6320.0,6100.0,6100.0,701306
2023-02-22,6000.0,6090.0,5920.0,5920.0,637859
2023-02-23,5970.0,6000.0,5760.0,6000.0,629185
2023-02-24,6000.0,6000.0,5860.0,5890.0,264831
2023-02-27,5880.0,5880.0,5700.0,5800.0,395946
2023-02-28,5750.0,5850.0,5700.0,5840.0,340716
2023-03-01,5770.0,5900.0,5700.0,5900.0,309719
2023-03-02,5900.0,5960.0,5830.0,5830.0,144612
2023-03-03,5760.0,5850.0,5730.0,5810.0,290938
