time,open,high,low,close,volume
2019-01-02,6010.0,6010.0,6010.0,6010.0,130
2019-01-03,6130.0,6130.0,5590.0,6090.0,380
2019-01-04,6090.0,6090.0,6090.0,6090.0,0
2019-01-07,6090.0,6090.0,5670.0,6050.0,300
2019-01-08,5640.0,6040.0,5640.0,5880.0,140
2019-01-09,5670.0,5880.0,5480.0,5880.0,1210
2019-01-10,5800.0,5880.0,5800.0,5880.0,1310
2019-01-11,5630.0,5880.0,5470.0,5880.0,490
2019-01-14,5880.0,5880.0,5880.0,5880.0,0
2019-01-15,5520.0,5820.0,5520.0,5530.0,450
2019-01-16,5540.0,5910.0,5540.0,5910.0,300
2019-01-17,5530.0,5530.0,5530.0,5530.0,2010
2019-01-18,5530.0,5530.0,5490.0,5490.0,1000
2019-01-21,5490.0,5530.0,5490.0,5530.0,22830
2019-01-22,5910.0,5910.0,5910.0,5910.0,1600
2019-01-23,5910.0,6300.0,5910.0,6300.0,33330
2019-01-24,6050.0,6720.0,6050.0,6720.0,2290
2019-01-25,7050.0,7050.0,6300.0,6300.0,16410
2019-01-28,6300.0,6300.0,6300.0,6300.0,0
2019-01-29,6300.0,6300.0,6300.0,6300.0,2000
2019-01-30,6290.0,6470.0,6290.0,6290.0,38370
2019-01-31,6290.0,6300.0,6290.0,6290.0,5200
2019-02-01,6720.0,6720.0,6720.0,6720.0,20
2019-02-11,6640.0,6710.0,6300.0,6710.0,19000
2019-02-12,6310.0,6720.0,6310.0,6720.0,240
2019-02-13,6380.0,6550.0,6380.0,6550.0,290
2019-02-14,6310.0,6550.0,6300.0,6550.0,5030
2019-02-15,6210.0,6540.0,6210.0,6380.0,1820
2019-02-18,6270.0,6710.0,6270.0,6710.0,1520
2019-02-19,6710.0,6710.0,6470.0,6640.0,6260
2019-02-20,6640.0,6640.0,6640.0,6640.0,20
2019-02-21,6220.0,6630.0,6220.0,6630.0,150
2019-02-22,6550.0,6550.0,6550.0,6550.0,30
2019-02-25,6710.0,6710.0,6710.0,6710.0,10270
2019-02-26,6590.0,6640.0,6590.0,6640.0,8270
2019-02-27,6590.0,6620.0,6230.0,6620.0,3170
2019-02-28,6180.0,6610.0,6180.0,6590.0,1270
2019-03-01,6590.0,6590.0,6590.0,6590.0,200
2019-03-04,6590.0,6590.0,6590.0,6590.0,0
2019-03-05,6260.0,6260.0,6220.0,6220.0,7060
2019-03-06,6220.0,6550.0,6220.0,6530.0,11080
2019-03-07,6530.0,6530.0,6530.0,6530.0,1200
2019-03-08,6300.0,6520.0,6240.0,6520.0,360
2019-03-11,6230.0,6800.0,6220.0,6800.0,13530
2019-03-12,6800.0,6800.0,6430.0,6790.0,50
2019-03-13,6790.0,6790.0,6790.0,6790.0,700
2019-03-14,6380.0,6780.0,6380.0,6780.0,17350
2019-03-15,6350.0,6760.0,6340.0,6760.0,720
2019-03-18,6720.0,6720.0,6430.0,6430.0,9690
2019-03-19,6670.0,6870.0,6660.0,6870.0,60620
2019-03-20,6870.0,7350.0,6870.0,7350.0,146510
2019-03-21,7850.0,7850.0,7740.0,7740.0,6260
2019-03-22,7560.0,7850.0,7560.0,7850.0,2030
2019-03-25,8320.0,8320.0,7310.0,8060.000000000001,131130
2019-03-26,8060.000000000001,8060.000000000001,7690.0,8020.0,230
2019-03-27,8010.0,8010.0,7470.0,7980.0,2680
2019-03-28,8060.000000000001,8320.0,7480.0,8060.000000000001,49580
2019-03-29,7600.0,8060.000000000001,7600.0,8060.000000000001,2270
2019-04-01,7900.0,8400.0,7730.0,8400.0,11540
2019-04-02,8060.000000000001,8060.000000000001,7810.0,7810.0,19730
2019-04-03,7640.0,7810.0,7640.0,7810.0,13310
2019-04-04,7640.0,7790.0,7560.0,7560.0,10040
2019-04-05,7560.0,7560.0,7310.0,7310.0,15030
2019-04-08,7140.0,7810.0,7140.0,7310.0,6660
2019-04-09,7730.0,7730.0,7220.0,7560.0,7250
2019-04-10,7390.0,7900.0,7390.0,7810.0,43920
2019-04-11,7790.0,7790.0,7790.0,7790.0,190
2019-04-12,7480.0,7770.0,7480.0,7560.0,1100
2019-04-16,7030.0,7390.0,7030.0,7030.0,155980
2019-04-17,6590.0,7000.0,6590.0,7000.0,117880
2019-04-24,7060.0,7640.0,7060.0,7480.0,17300
2019-04-25,7560.0,7730.0,7480.0,7640.0,4520
2019-04-26,7560.0,7640.0,6970.0,6970.0,12550
2019-05-02,6970.0,7390.0,6800.0,7390.0,27500
2019-05-03,7390.0,7390.0,7310.0,7310.0,2420
2019-05-06,7310.0,7310.0,7220.0,7220.0,3060
2019-05-07,7220.0,7220.0,6550.0,6550.0,56100
2019-05-08,6640.0,6640.0,6640.0,6640.0,300
2019-05-09,6550.0,6640.0,6300.0,6550.0,170140
2019-05-10,6640.0,6720.0,6550.0,6640.0,19900
2019-05-13,6890.0,6890.0,6640.0,6720.0,16900
2019-05-14,6640.0,6720.0,6640.0,6640.0,2600
2019-05-15,6640.0,7480.0,6640.0,6970.0,200210
2019-05-16,6970.0,7140.0,6890.0,7140.0,20250
2019-05-17,7310.0,8060.000000000001,7140.0,8060.000000000001,51710
2019-05-20,8060.000000000001,8320.0,7560.0,7640.0,23300
2019-05-21,7980.0,7980.0,7140.0,7730.0,51820
2019-05-22,7480.0,8060.000000000001,7480.0,7640.0,17320
2019-05-23,7730.0,8060.000000000001,7730.0,7980.0,31210
2019-05-24,7980.0,7980.0,7730.0,7900.0,31500
2019-05-27,7730.0,7980.0,7640.0,7980.0,18700
2019-05-28,7640.0,8820.0,7390.0,8820.0,115900
2019-05-29,9070.0,9490.0,9070.0,9490.0,105500
2019-05-30,9490.0,9490.0,8900.0,8990.0,10750
2019-05-31,8990.0,8990.0,8230.0,8400.0,44100
2019-06-03,8320.0,8570.0,8060.000000000001,8400.0,18100
2019-06-04,8400.0,8900.0,8400.0,8650.0,34700
2019-06-05,8900.0,9320.0,8900.0,9240.0,21630
2019-06-06,9240.0,10330.0,9240.0,10160.0,61430
2019-06-07,10080.0,10080.0,9660.0,9660.0,28600
2019-06-10,9490.0,9830.0,9240.0,9660.0,58220
2019-06-11,9410.0,10750.0,9240.0,10500.0,69240
2019-06-12,10750.0,10750.0,10080.0,10080.0,25400
2019-06-13,9740.0,9830.0,9490.0,9830.0,24910
2019-06-14,9740.0,9740.0,9160.0,9160.0,24600
2019-06-17,8820.0,9410.0,8480.0,9070.0,26660
2019-06-18,9240.0,9240.0,8990.0,9160.0,3500
2019-06-19,9410.0,9490.0,9070.0,9410.0,5950
2019-06-20,9160.0,9240.0,8820.0,9240.0,26510
2019-06-21,9160.0,9490.0,9160.0,9240.0,9720
2019-06-24,9160.0,9740.0,9160.0,9490.0,19150
2019-06-25,9490.0,9660.0,9410.0,9410.0,11400
2019-06-26,9240.0,9580.0,9240.0,9410.0,16170
2019-06-27,9410.0,9410.0,8990.0,8990.0,8600
2019-06-28,8990.0,8990.0,8740.0,8990.0,13300
2019-07-01,8990.0,9490.0,8740.0,9410.0,20900
2019-07-02,8990.0,9320.0,8990.0,9240.0,7100
2019-07-03,9070.0,9070.0,8650.0,8740.0,31600
2019-07-04,8740.0,8740.0,8480.0,8820.0,28100
2019-07-05,8400.0,8820.0,8400.0,8820.0,18100
2019-07-08,8740.0,8740.0,8740.0,8740.0,1055
2019-07-09,8740.0,8820.0,8740.0,8740.0,10335
2019-07-10,8740.0,9160.0,8740.0,9160.0,14300
2019-07-11,8990.0,8990.0,8990.0,8990.0,625
2019-07-12,8990.0,9240.0,8990.0,9070.0,13035
2019-07-15,9070.0,9490.0,8990.0,9240.0,12100
2019-07-16,9320.0,9320.0,9240.0,9240.0,2420
2019-07-17,9240.0,9240.0,9240.0,9240.0,0
2019-07-18,9160.0,9160.0,8820.0,9070.0,2900
2019-07-19,9160.0,9160.0,8900.0,8900.0,5100
2019-07-22,9070.0,9070.0,8480.0,8570.0,16200
2019-07-23,8650.0,8820.0,8320.0,8820.0,11300
2019-07-24,8820.0,8820.0,8650.0,8740.0,2320
