time,open,high,low,close,volume
2019-01-02,4500.0,4520.0,4390.0,4420.0,418180
2019-01-03,4390.0,4420.0,4320.0,4330.0,366800
2019-01-04,4290.0,4330.0,4180.0,4330.0,520930
2019-01-07,4370.0,4420.0,4290.0,4410.0,532100
2019-01-08,4390.0,4410.0,4380.0,4390.0,96180
2019-01-09,4380.0,4420.0,4330.0,4380.0,324780
2019-01-10,4390.0,4440.0,4370.0,4440.0,287750
2019-01-11,4400.0,4460.0,4390.0,4460.0,226560
2019-01-14,4440.0,4460.0,4390.0,4420.0,118850
2019-01-15,4400.0,4440.0,4350.0,4430.0,481010
2019-01-16,4450.0,4520.0,4420.0,4480.0,420300
2019-01-17,4480.0,4500.0,4410.0,4460.0,397290
2019-01-18,4440.0,4480.0,4410.0,4440.0,197670
2019-01-21,4440.0,4580.0,4400.0,4580.0,539810
2019-01-22,4580.0,4620.0,4520.0,4520.0,465320
2019-01-23,4520.0,4560.0,4420.0,4540.0,298310
2019-01-24,4520.0,4560.0,4470.0,4520.0,135560
2019-01-25,4560.0,4560.0,4470.0,4480.0,140380
2019-01-28,4520.0,4520.0,4440.0,4480.0,159290
2019-01-29,4460.0,4500.0,4400.0,4480.0,139680
2019-01-30,4440.0,4480.0,4400.0,4460.0,309580
2019-01-31,4470.0,4600.0,4470.0,4580.0,655360
2019-02-01,4600.0,4720.0,4590.0,4720.0,824070
2019-02-11,4730.0,4760.0,4660.0,4720.0,333150
2019-02-12,4720.0,4760.0,4650.0,4760.0,1151470
2019-02-13,4780.0,4800.0,4710.0,4720.0,572380
2019-02-14,4700.0,4760.0,4670.0,4700.0,556190
2019-02-15,4700.0,4760.0,4640.0,4700.0,700010
2019-02-18,4680.0,4760.0,4670.0,4740.0,487780
2019-02-19,4740.0,4780.0,4680.0,4700.0,367070
2019-02-20,4680.0,4720.0,4630.0,4660.0,414940
2019-02-21,4680.0,4700.0,4620.0,4660.0,556260
2019-02-22,4660.0,4820.0,4660.0,4780.0,962200
2019-02-25,4780.0,4820.0,4700.0,4770.0,457960
2019-02-26,4760.0,4800.0,4690.0,4720.0,372180
2019-02-27,4720.0,4800.0,4680.0,4700.0,638900
2019-02-28,4680.0,4710.0,4600.0,4600.0,271000
2019-03-01,4670.0,4710.0,4560.0,4560.0,425660
2019-03-04,4560.0,4600.0,4480.0,4560.0,434850
2019-03-05,4560.0,4560.0,4530.0,4560.0,227140
2019-03-06,4560.0,4620.0,4540.0,4570.0,335400
2019-03-07,4600.0,4610.0,4540.0,4550.0,147170
2019-03-08,4540.0,4550.0,4470.0,4510.0,213710
2019-03-11,4520.0,4520.0,4420.0,4460.0,241210
2019-03-12,4450.0,4500.0,4420.0,4460.0,276550
2019-03-13,4460.0,4620.0,4450.0,4480.0,264660
2019-03-14,4480.0,4560.0,4470.0,4560.0,171860
2019-03-15,4560.0,4600.0,4540.0,4580.0,216690
2019-03-18,4600.0,4700.0,4600.0,4700.0,571830
2019-03-19,4700.0,4720.0,4640.0,4680.0,400230
2019-03-20,4680.0,4680.0,4600.0,4630.0,210920
2019-03-21,4620.0,4640.0,4550.0,4580.0,269180
2019-03-22,4560.0,4580.0,4530.0,4580.0,248560
2019-03-25,4540.0,4540.0,4420.0,4460.0,147490
2019-03-26,4460.0,4520.0,4420.0,4520.0,300340
2019-03-27,4500.0,4580.0,4500.0,4550.0,160360
2019-03-28,4520.0,4550.0,4480.0,4540.0,145160
2019-03-29,4540.0,4540.0,4460.0,4470.0,228640
2019-04-01,4480.0,4520.0,4440.0,4470.0,334770
2019-04-02,4520.0,4520.0,4420.0,4430.0,82370
2019-04-03,4420.0,4460.0,4390.0,4390.0,37310
2019-04-04,4390.0,4390.0,4290.0,4290.0,186080
2019-04-05,4390.0,4480.0,4330.0,4390.0,238460
2019-04-08,4400.0,4500.0,4400.0,4500.0,336050
2019-04-09,4500.0,4500.0,4420.0,4440.0,303750
2019-04-10,4430.0,4480.0,4400.0,4450.0,367900
2019-04-11,4450.0,4480.0,4420.0,4460.0,370500
2019-04-12,4460.0,4460.0,4400.0,4440.0,105170
2019-04-16,4400.0,4440.0,4310.0,4440.0,221870
2019-04-17,4440.0,4450.0,4370.0,4420.0,266830
2019-04-18,4400.0,4460.0,4310.0,4330.0,224030
2019-04-19,4350.0,4390.0,4330.0,4390.0,128570
2019-04-22,4420.0,4420.0,4360.0,4390.0,145740
2019-04-23,4390.0,4420.0,4370.0,4420.0,214660
2019-04-24,4420.0,4460.0,4400.0,4460.0,239790
2019-04-25,4460.0,4480.0,4410.0,4440.0,239040
2019-04-26,4440.0,4520.0,4420.0,4480.0,627870
2019-05-02,4490.0,4490.0,4390.0,4460.0,286040
2019-05-03,4460.0,4480.0,4400.0,4460.0,252230
2019-05-06,4390.0,4420.0,4330.0,4340.0,144340
2019-05-07,4420.0,4440.0,4340.0,4400.0,422560
2019-05-08,4350.0,4420.0,4320.0,4390.0,236430
2019-05-09,4370.0,4400.0,4330.0,4330.0,367730
2019-05-10,4340.0,4400.0,4330.0,4390.0,179810
2019-05-13,4400.0,4640.0,4370.0,4540.0,685310
2019-05-14,4520.0,4600.0,4470.0,4550.0,662450
2019-05-15,4550.0,4550.0,4490.0,4520.0,192750
2019-05-16,4520.0,4540.0,4460.0,4500.0,349010
2019-05-17,4500.0,4510.0,4440.0,4490.0,132150
2019-05-20,4460.0,4490.0,4450.0,4490.0,181410
2019-05-21,4490.0,4590.0,4490.0,4590.0,562610
2019-05-22,4590.0,4650.0,4560.0,4600.0,618330
2019-05-23,4580.0,4590.0,4530.0,4590.0,286260
2019-05-24,4570.0,4570.0,4490.0,4520.0,354530
2019-05-27,4520.0,4540.0,4470.0,4520.0,295650
2019-05-28,4520.0,4520.0,4440.0,4480.0,295520
2019-05-29,4480.0,4560.0,4450.0,4480.0,371510
2019-05-30,4460.0,4510.0,4440.0,4490.0,217200
2019-05-31,4490.0,4500.0,4350.0,4350.0,279720
