time,open,high,low,close,volume
2019-01-02,4450.0,4680.0,4410.0,4410.0,17640
2019-01-03,4410.0,4420.0,4270.0,4330.0,10170
2019-01-04,4330.0,4330.0,4270.0,4330.0,6870
2019-01-07,4390.0,4390.0,4270.0,4280.0,5060
2019-01-08,4280.0,4330.0,4150.0,4330.0,6690
2019-01-09,4380.0,4380.0,4380.0,4380.0,10
2019-01-10,4360.0,4360.0,4280.0,4350.0,6110
2019-01-11,4310.0,4350.0,4280.0,4340.0,6880
2019-01-14,4330.0,4330.0,4270.0,4270.0,700
2019-01-15,4270.0,4300.0,4240.0,4270.0,4710
2019-01-16,4270.0,4300.0,4270.0,4270.0,8650
2019-01-17,4270.0,4270.0,4230.0,4270.0,11380
2019-01-18,4270.0,4300.0,4160.0,4270.0,5540
2019-01-21,4230.0,4440.0,4230.0,4440.0,1710
2019-01-22,4330.0,4450.0,4330.0,4330.0,2090
2019-01-23,4330.0,4550.0,4330.0,4490.0,5730
2019-01-24,4360.0,4390.0,4330.0,4330.0,5630
2019-01-25,4330.0,4330.0,4280.0,4280.0,2400
2019-01-28,4230.0,4480.0,4210.0,4430.0,4070
2019-01-29,4430.0,4430.0,4130.0,4330.0,11240
2019-01-30,4330.0,4330.0,4320.0,4320.0,1130
2019-01-31,4320.0,4320.0,4300.0,4320.0,10950
2019-02-01,4320.0,4380.0,4320.0,4360.0,1270
2019-02-11,4450.0,4640.0,4100.0,4160.0,7020
2019-02-12,4320.0,4330.0,4150.0,4300.0,5080
2019-02-13,4220.0,4300.0,4100.0,4270.0,12130
2019-02-14,4390.0,4390.0,4270.0,4270.0,3240
2019-02-15,4320.0,4320.0,4300.0,4300.0,70
2019-02-18,4300.0,4300.0,4270.0,4270.0,9670
2019-02-19,4270.0,4270.0,4100.0,4210.0,2690
2019-02-20,4160.0,4200.0,4130.0,4150.0,20070
2019-02-21,4150.0,4210.0,4150.0,4150.0,18880
2019-02-22,4150.0,4150.0,4150.0,4150.0,7290
2019-02-25,4150.0,4150.0,4100.0,4150.0,5830
2019-02-26,4150.0,4170.0,4150.0,4170.0,3540
2019-02-27,4300.0,4300.0,4150.0,4150.0,2850
2019-02-28,4150.0,4150.0,4100.0,4100.0,6020
2019-03-01,4100.0,4270.0,4100.0,4150.0,4840
2019-03-04,4150.0,4270.0,4070.0000000000005,4100.0,15570
2019-03-05,4150.0,4150.0,4080.0,4100.0,36620
2019-03-06,4100.0,4120.0,4100.0,4100.0,5240
2019-03-07,4110.0,4180.0,4080.0,4080.0,50950
2019-03-08,4100.0,4130.0,4080.0,4100.0,38610
2019-03-11,4100.0,4130.0,4080.0,4130.0,19270
2019-03-12,4130.0,4410.0,4130.0,4410.0,104560
2019-03-13,4680.0,4680.0,4510.0,4560.0,152290
2019-03-14,4510.0,4510.0,4270.0,4330.0,103090
2019-03-15,4220.0,4270.0,4110.0,4120.0,191490
2019-03-18,4100.0,4130.0,4070.0000000000005,4090.0,70630
2019-03-19,4100.0,4100.0,3980.0,3980.0,60540
2019-03-20,3940.0,4090.0,3940.0,3980.0,45080
2019-03-21,4070.0000000000005,4070.0000000000005,3950.0,4040.0,7680
2019-03-22,4059.9999999999995,4059.9999999999995,3870.0,3910.0,41770
2019-03-25,3910.0,3910.0,3730.0,3890.0,32190
2019-03-26,3900.0,3900.0,3850.0,3900.0,18470
2019-03-27,3920.0,3920.0,3890.0,3900.0,12250
2019-03-28,3890.0,3890.0,3800.0,3860.0,7420
2019-03-29,4090.0,4090.0,3800.0,3870.0,6920
2019-04-01,3910.0,3980.0,3760.0,3920.0,20400
2019-04-02,3920.0,3950.0,3800.0,3950.0,14340
2019-04-03,3950.0,3980.0,3950.0,3960.0,1880
2019-04-04,3970.0,3970.0,3960.0,3960.0,27020
2019-04-05,3960.0,3960.0,3960.0,3960.0,0
2019-04-08,3870.0,3920.0,3830.0,3920.0,15540
2019-04-09,3860.0,3920.0,3860.0,3910.0,48340
2019-04-10,3890.0,3930.0,3860.0,3920.0,8220
2019-04-11,3910.0,3930.0,3870.0,3870.0,15970
2019-04-12,3920.0,3950.0,3920.0,3950.0,44480
2019-04-16,3950.0,3980.0,3830.0,3950.0,16890
2019-04-17,3920.0,4000.0,3920.0,3960.0,85520
2019-04-18,3970.0,4100.0,3950.0,3960.0,64370
2019-04-19,4100.0,4100.0,3940.0,4040.0,6990
2019-04-22,4040.0,4040.0,3760.0,3760.0,72780
2019-04-23,3760.0,3950.0,3760.0,3850.0,49780
2019-04-24,3950.0,3950.0,3860.0,3860.0,32430
2019-04-25,3860.0,3870.0,3860.0,3860.0,66870
2019-04-26,3820.0,4030.0000000000005,3820.0,3830.0,41560
2019-05-02,3830.0,3890.0,3830.0,3890.0,690
2019-05-03,3920.0,3930.0,3860.0,3930.0,13920
2019-05-06,3860.0,4180.0,3860.0,4100.0,84130
2019-05-07,4180.0,4270.0,3980.0,4150.0,69680
2019-05-08,4210.0,4240.0,3920.0,3930.0,53330
2019-05-09,3930.0,4070.0000000000005,3870.0,3890.0,3210
2019-05-10,3870.0,3900.0,3870.0,3900.0,6310
2019-05-13,3920.0,3920.0,3820.0,3830.0,3220
2019-05-14,3890.0,3900.0,3890.0,3890.0,14150
2019-05-15,3890.0,3920.0,3860.0,3920.0,1110
2019-05-16,3910.0,4040.0,3910.0,4040.0,63100
2019-05-17,4100.0,4100.0,3930.0,4030.0000000000005,80
2019-05-20,4100.0,4100.0,3920.0,3920.0,5200
2019-05-21,4030.0000000000005,4030.0000000000005,3870.0,3870.0,3460
2019-05-22,3860.0,3870.0,3810.0,3860.0,34570
2019-05-23,4040.0,4040.0,3820.0,3830.0,9430
2019-05-24,3820.0,3960.0,3820.0,3860.0,10610
2019-05-27,3860.0,3860.0,3860.0,3860.0,6700
2019-05-28,4010.0,4010.0,3860.0,3880.0,12600
2019-05-29,3870.0,4100.0,3870.0,4040.0,18650
2019-05-30,3990.0,4040.0,3990.0,3990.0,70140
2019-05-31,4100.0,4100.0,3990.0,3990.0,27120
2019-06-03,3990.0,3990.0,3870.0,3930.0,6500
2019-06-04,4150.0,4150.0,3930.0,4110.0,20430
2019-06-05,4110.0,4110.0,3980.0,4070.0000000000005,19280
2019-06-06,4070.0000000000005,4070.0000000000005,4070.0000000000005,4070.0000000000005,17450
2019-06-07,4070.0000000000005,4100.0,4070.0000000000005,4070.0000000000005,25310
2019-06-10,4100.0,4110.0,3940.0,4040.0,34250
2019-06-11,3980.0,4040.0,3980.0,3980.0,36420
2019-06-12,3980.0,4070.0000000000005,3960.0,3970.0,58030
2019-06-13,3980.0,4100.0,3970.0,3990.0,52130
2019-06-14,4100.0,4100.0,3990.0,4100.0,84850
2019-06-17,4150.0,4240.0,4010.0,4240.0,109140
2019-06-18,4150.0,4240.0,4100.0,4190.0,58390
2019-06-19,4270.0,4270.0,4150.0,4180.0,63650
2019-06-20,4100.0,4170.0,3980.0,3980.0,42060
2019-06-21,3980.0,4010.0,3980.0,3980.0,16760
2019-06-24,3990.0,4150.0,3990.0,4100.0,17360
2019-06-25,4100.0,4150.0,4040.0,4040.0,7250
2019-06-26,4080.0,4080.0,3950.0,4070.0000000000005,86310
2019-06-27,4070.0000000000005,4070.0000000000005,3970.0,3970.0,32560
2019-06-28,4019.9999999999995,4019.9999999999995,3920.0,3960.0,34710
2019-07-01,3980.0,3980.0,3960.0,3970.0,5720
2019-07-02,3980.0,3980.0,3960.0,3980.0,10210
2019-07-03,3980.0,4010.0,3920.0,3990.0,10150
2019-07-04,3970.0,4100.0,3970.0,4000.0,75850
2019-07-05,3980.0,4100.0,3980.0,3980.0,16010
2019-07-08,3990.0,4100.0,3980.0,4070.0000000000005,23850
2019-07-09,4100.0,4130.0,4040.0,4100.0,28430
2019-07-10,4100.0,4100.0,4040.0,4040.0,24520
2019-07-11,4100.0,4130.0,4040.0,4130.0,24480
2019-07-12,4100.0,4120.0,4040.0,4100.0,30560
2019-07-15,4100.0,4150.0,4040.0,4100.0,22990
2019-07-16,4100.0,4100.0,4040.0,4100.0,20910
2019-07-17,4059.9999999999995,4100.0,4010.0,4040.0,29240
2019-07-18,4040.0,4040.0,4010.0,4040.0,27810
2019-07-19,4040.0,4040.0,3930.0,4010.0,18790
2019-07-22,3980.0,4010.0,3890.0,4010.0,11540
2019-07-23,3920.0,4010.0,3920.0,4010.0,36930
2019-07-24,3860.0,4080.0,3820.0,4010.0,7990
2019-07-25,4010.0,4070.0000000000005,4010.0,4070.0000000000005,5510
2019-07-26,4040.0,4070.0000000000005,3860.0,4030.0000000000005,47320
